skill_id,code,name,Skill Builder ID,prereq_id,prereq_code,prereq_name,prereq_remediation_problem_set_id-2
191,7.NS.A.2c,Multiplying and Dividing Rationals,,121,6.NS.A.1,Dividing Fractions,164496
189,7.NS.A.2c,Multiplying Integers,5965,45,4.NBT.B.5,Multiplying Whole Numbers,26783
191,7.NS.A.2c,Multiplying and Dividing Rationals,,126,6.NS.B.3,Dividing Positive Decimals,
190,7.NS.A.2c,Dividing Integers,7020,189,7.NS.A.2c,Multiplying Integers,5965
191,7.NS.A.2c,Multiplying and Dividing Rationals,,90,5.NF.B.4a,Multiplying Fractions,164494
190,7.NS.A.2c,Dividing Integers,7020,82,5.NBT.B.6,Dividing Whole Numbers,26468
192,7.NS.A.2d,Convert fractions to decimals,,,,,
193,7.NS.A.3,Integer Word Problems - All Operations,14247,86,5.NF.A.1,Subtracting Proper Fractions,38719
193,7.NS.A.3,Integer Word Problems - All Operations,14247,190,7.NS.A.2c,Dividing Integers,7020
193,7.NS.A.3,Integer Word Problems - All Operations,14247,185,7.NS.A.1d,Subtracting Integers,7014
193,7.NS.A.3,Integer Word Problems - All Operations,14247,121,6.NS.A.1,Dividing Fractions,164496
193,7.NS.A.3,Integer Word Problems - All Operations,14247,90,5.NF.B.4a,Multiplying Fractions,164494
193,7.NS.A.3,Integer Word Problems - All Operations,14247,84,5.NF.A.1,Adding Proper Fractions,38715
175,7.RP.A.1,Unit Rate with Fractions,663995,116,6.RP.A.3b,Unit Rate,37372
175,7.RP.A.1,Unit Rate with Fractions,663995,121,6.NS.A.1,Dividing Fractions,164496
176,7.RP.A.2a,Recognizing Proportional Relationships,613231,,,,
177,7.RP.A.2b,Identifying the Constant of Proportionality,85626,108,5.G.A.1,Plotting in Quadrant I,
178,7.RP.A.2c,Represent proportional relationships in equation,,,,,
179,7.RP.A.2d,Identify unit rate from coordinates,,,,,
180,7.RP.A.3,Percent Word Problems,40996,117,6.RP.A.3c,Percent of,413651
180,7.RP.A.3,Percent Word Problems,40996,118,6.RP.A.3c,Percent Finding Whole,204100
213,7.SP.A.1,Sampling Techniques,,,,,
214,7.SP.A.2,Random sample to draw inferences,,,,,
215,7.SP.B.3,Compare populations- center and variability,,,,,
216,7.SP.B.4,Comparative inferences,,,,,
217,7.SP.C.5,Probability between 0&1,,,,,
218,7.SP.C.6,Experimental probability,,,,,
219,7.SP.C.7a,Probability of a Single Event,8585,,,,
220,7.SP.C.7b,Probability of a single even (not uniform),,,,,
221,7.SP.C.8a,Probability of a Compound Event,204037,222,7.SP.C.8b,Tree Diagrams and Lists,15528
221,7.SP.C.8a,Probability of a Compound Event,204037,219,7.SP.C.7a,Probability of a Single Event,8585
222,7.SP.C.8b,Tree Diagrams and Lists,15528,,,,
223,7.SP.C.8b,Sample Space,,,,,
224,7.SP.C.8c,Probability of Two Distinct Events,,,,,
229,8.EE.A.1,Dividing Monomials,9428,190,7.NS.A.2c,Dividing Integers,7020
230,8.EE.A.1,Power of Powers,9494,140,6.EE.A.1,Evaluating Exponents,204176
228,8.EE.A.1,Multiplying Monomials,9427,189,7.NS.A.2c,Multiplying Integers,5965
231,8.EE.A.2,Square and cube roots,,,,,
232,8.EE.A.3,Scientific notation,11893,,,,
233,8.EE.A.4,Operations with Scientific Notation,571475,77,5.NBT.A.2,Multiplying and Dividing by Powers of 10,37002
233,8.EE.A.4,Operations with Scientific Notation,571475,230,8.EE.A.1,Power of Powers,9494
234,8.EE.B.5,"Compare slope in graphs, tables, & equations",,,,,
235,8.EE.B.6,Find slope from a graph,,,,,
236,8.EE.C.7a,Number of solutions to linear equations,,,,,
237,8.EE.C.7b,Solving Linear Equations,10265,194,7.EE.A.1,Combining Like Terms,37570
237,8.EE.C.7b,Solving Linear Equations,10265,145,6.EE.A.3,Distributive Property,11901
238,8.EE.C.8a,Identify solutions to systems of equations from graphs,,,,,
239,8.EE.C.8b,Systems of Linear Equations,8930,143,6.EE.A.2c,Substitution,
239,8.EE.C.8b,Systems of Linear Equations,8930,198,7.EE.B.4a,Equation Solving - Two or Fewer Steps,7148
239,8.EE.C.8b,Systems of Linear Equations,8930,134,6.NS.C.6c,Plotting on a Coordinate Plane,35008
